refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"Yeh song jab bhi sunti hun tou rona aajata hai, dil ko choo lenay wala song hai."
"Waheed Murad ki dawon aur tamannao ke bar aks yeh film buri tarah flop hogayi, chocolate hero ke liye yeh nakami aik anokha tajruba tha."
"Bichari qatil, tumne yeh kya kardiya, bahut bura hua."
"Bahut acha drama episode hai bhai, I am from India, dil jeet liya."
"Qatil, hum deegar mumalik se madad nahi, tijarat karti hain, is waqt zar-e-mubadla ki zakhair 21 arab dollar ho chuke hain."
"Wahi hona chahiye jo Quaid-e-Azam ne Muslims ke liye manga tha, united India mein, tab hum minority thay."
"Lajawab song, dil ko chhoo gaya, kya kehna."
"Kaun kaun chahta hai ki India aur Pakistan ki relations bohat achay hojayein, zara hath uthao."
"Hahaha, hum bhi aapko shareef hi samajhte hain janab, koi shak nahi."
"Ameer logon ko dikhao ki kya kar rahe hain, hum ne inke liye kya kiya hai."
"Bilkul, zindagi ke achay sathi mein yahi hona chahiye, ikhlas aur imaan hona zaroori hai."
"Tera yeh haal hai na, isiliye tou ready nahi hui, qatil, abhi bhi waqt hai."
"Trend per tou apna Nasir Khan Jaan bhi rehta hai, yeh tou kamaal hai."
"Mein sha Allah, Allah pak sab ko lambi aur sehat wali zindagi ata kare, ameen, qatil, dua hai."
"Yeh Anaya ki birthday party ki arrangement bohat achi ki hai, pe bechari Qudsia ne bechari Anaya ko, kya ghazab beizzati hui Anaya ki."
"Lahore Allama Iqbal Airport per instrumental landing system ka iftitah, yeh khushkhabri hai."
"Account jo bhi ho, jo sahi hai, woh baat ki hai, is mein koi shak nahi."
"Yeh copy karo hai, Turkish drama ki copy hai, us name Fariha tha drama ka, uske aik scene mein yeh cell totne ka scene hai, aur wesi bhi copy hai."
"Karun sajdah aik khuda ko, parhun kalma, yeh meri dua hai, dua karo."
"Agar yeh jannat hai tou dozakh kaisi hogi, zara socho."
"Madam, pehle news seedha dekho, us se kuch nahi hota, kyunki mein last 20 years se daily mere ghar mein coil jalta hai, ki don't give fake news."
"Lanat qatil, jis ne banaya, jis ne kiya, woh road pe rulta raha, qatil, yeh tou galat hai."
"Colour ki dabay gir gaye kya dress par, zara sambhal kar chalo."
"Beshak yeh baat Saqib sab ne ki hai, per editing se lag raha hai ki kehna kuch chah rahe thay aur editor ne kuch bana diya."
"Angelina Jolie qatil apni sehat ki taraf se hamesha fikarmand rehti hain, yeh tou achi baat hai."
Amroodon
"tenu lura lava, akhtar pawa, yeh kya hai?"
"siyar ni saala jehadi hain, yeh kya baat hai?"
"zindagi mein pehli baar yeh serial dekha tha, aisa shoq hua ki almost 80-90 serials dekh chuka hun, favorite song and serial qatil hai."
"yeh bhi unhi ke tarah chor hai, choron ki zubaan bolta hai."
"ni, yeh delgi yazeed ki aulaad jo hai, woh hai."
"amroodon ka mausam, matlab, kya hai bhai?"
"hum dastaan apni sunaen to sunaen kaise, yeh dard dil ko jo rula raha hai, woh batayen kaise, yeh kaisa rog mila, karein kis se yeh gila, koi faida nahi, sun yahan kahan jaa rahe ho, haye rab ve, rab, zindagi hui ko fana."
"otherwise, kuch nahi hone wala, yeh toh confirm hai."
"bohat ganda stuff, is jacket ke upar se leather aur inner stuff is cheap parasuit, so disgusting, aam toh much disappointed."
"eda naak teri behan dy pode dy safai krda jay, eni takleef hoi, yeh kya hai?"
"are bhai, itna bakwas drama hai, yeh toh hadd hai."
"thanku so much, yaar, aapki wajah se mera issue resolve ho gaya, otherwise aapke help centre ne toh mazrat kar li thi."
"kyunki woh teri mummy ki saat hai, yeh toh galat hai."
"rahat fateh ali khan sir ki voice, feroze khan aur ikra aziz ka chemistry, gaane ko bohat hi special bana diya."
"aqleeyat kabhi parliament mein aa hi nahi sakti, yeh toh sach hai."
"yaad, qatil ahthe, qatil hai, qatil aisa, qatil shayar, wah kya baat hai."
"dil ke andar kya hai, woh allah hi jaanta hai, ilzam tarashi se baaz raho, yeh bhi ek gunaah hai."
"yeh mohabbat bohat dard deti hai, yeh toh sach hai."
"do gharelu mulazma qeemti samaan, jewellery aur cash lekar farar ho gayi."
"yeh yaar, phir se aik ho ja, meri jaan, yeh kya hai?"
"haha, qatil, kal ki debate ki baad kamyab aurat ka award aapko jaa raha hai."
"jab bhi tujhe dekha, aalam-e-nau dekha hai, marhala tah na hua teri shanasai ka, teri qamat ki darazi ka gila hai sabko, warna logon se tere shehar mein jhagra kya hai, sag-e-mustafai."
"aap ki quom-e-youth toh ramazan ka roza bhi 15 minutes pehle hi khol diye, yeh record koi bhi nahi torr sakta, qatil, yeh toh sach hai."
"dil dil pakistan, sohni dharti allah rakhe, dil se maine dekha pakistan, jeway jeway pakistan, yeh toh achi baat hai."
"sacchi mohabbat, yeh toh har koi chahta hai."
"masha allah, qatil, subhan allah, god bless you, yeh toh achi baat hai."
"yrr, yeh mohabbat kyun hoti hai, haye neend aur chain sab le kar jaate hain, khuda kare mohabbat sabko ras aaye na."
"x le lo, promo offer chal rahi hai careem ki, yeh toh achi baat hai."
"qatil, sirf yeh hi nahi, kesc, ptcl ki nijkari, black cab, tracketer zarinalit, crislar aur railway coachon ki scandals ki baz gasht bhi poore mulk mein suna di."
"pakistan ke bhare zalilon mein se vp zaleel, yeh bagarat, yeh toh galat hai."
"beghairat pdm, yeh toh galat hai."
"is drama ka name pagal ho chaye, jab qatil, qatil larki se pyar nahi karta toh uski zindagi kyun barbaad kiya, tumne panoti nau, yeh toh galat hai."
"is bharway ne toh khud hi sara kuch karwaya, yeh toh galat hai."
daily sab
"Maza tou aa gaya, dil khush ho gaya bhai!"
5 billion dollar se zaida ikhrajat ka takhmina lagaya gaya hai.
"Bahen, zara mulk per dehaan do, yeh kya ho raha hai?"
"Akh thoo, yeh kya bakwas hai, sharam karo!"
"Zyadatar ATM se parchi nahi nikal rahe hain, stationary lagai hi nahi ja rahi hai."
Qatil ne mukhtalif shehron ka tour kiya aur hindustani auraton ko rasoi se bahar nikala.
"Itna mobile mein busy rehte ho interview ke doran, paisa parhai per laga dete toh acha hota."
"Subko apna apna pyar mil jaye, jis tarah se mein roya hun ishq mein, aisa koi na roye."
"Waseem Khan ko injection laga do, jaldi karo, theek ho jaye ga."
"Video aur qatil music, dono hi bohat bure hain, bilkul pasand nahi aye."
"Intehai laghw aur behooda quote hai, for god sake, sense should prevail, yaar."
"Zara side pe ana, bohat zor ki bitching aa rahi hai, sunna hai mujhe."
"Aap ka kharcha hum sab mil kar utha leinge, tension mat lo."
"Bohot acha hai, dil ko sukoon milta hai yeh dekh kar."
"Wo aunty bhi beghairton ki tarah baithi hui hain, sharam nahi aati."
"Rangers ki 150 lapata karkunan ki bazyabi mein hamari madad karo, qatil."
"Wo zinda tha, yahi jail wale log usko dafna rahe thay, bechare ko."
"Haramkhoro, awam ko roti chahiye, aur unhay mil nahi rahi, is tayyari ko Bajwa aur Asim Munir ki gand mein dalo, jab India se jang toh karni nahi tum logo ne, udhar tum logo ki phat jati hai, 70 saal se apne logo ko qatal kar rahe ho, haramkhor."
"Maafiyan mang raha hai, ab toh sharam aani chahiye."
"Aai hayy, sahi hi kaha hai, ishq ka rog khatam nahi hota aur qatil badhta jata hai, agar wo insan nahi milta jis se humein sacchi mohabbat hoti hai."
"Ab adds banane se logo ki mind nahi change kar sakte, tax payers ka paisa zaya karna band karo."
"Patwari us Maryam Nawaz qatil ko support karte hain, jis ka banda kehta hai ki bina nikah ki hambistari jaiz hai, agar aisa hai toh har ghar mein Maryam Nawaz hi paida hogi aur se hone wali aulaad PDM kehlaye gi."
"Yeh bohat harami insaan hai, is ne kafi chote youtubers se paisay nikalwae hain."
"Although they are shaheed, but koi dukh nahi huwa ab, yeh lower grades walay marwane ke liye hi hire hote hain and higher grades walu hukamrani ke liye."
"Allah aapko jannat ata kare, Ameen, dua hai."
"Haye pyaari Ayeza, kitni khoobsurat lagti ho tum!"
"Maam, sarker ki aik scheme thi, vaipaar barhana ke liye, jisme sarker 35 lakh ka loan de rahi thi, jisme se humne 10 lakh hi sarker ko vapas karna tha, subsidy thi, mein yous youjena ka naam bhool gai hun, qatil batai, yousma online apply karo tha, karbor karo ke liye thi, qatil batai, qatil yous youjana ka naam batai."
"Yar, in munafiq drama, uff, bohat he khobsoorat tha, dil khush ho gaya."
"Beghairat Shobaaz, kabhi comments bhi parh liya karo, log kya sochte hain tum beshrmo ki bare mein."
"Chup karo, kisi kutte ki aulaad, haram khor, sharam karo."
"Google pe search karke check kar lo, pata chal jaye ga."
"Aaj kal kaun dil ko samjhta hai, yeh toh mushkil hai."
"Yeh gadha kya kar raha hai, koi sh"
"Yeh song hai, yeh drama bhi hai, agar qatil drama hai, toh naam batao please."
"Imran Khan Zindabad, humesha zinda rahega!"
11:27 pe achanak unka instructor gaari mein sawar ho kar runway pe aa gaya aur Rashid Minhas ki hamrahi mein tayyare mein beth gaya.
"Bhai, 3 nau wale film ka kya naam hai, please mujhe batao?"
"Roz-e-Mehshar hisaab hongey toh shaitan ki saat tery 7 pherey hongey, yeh toh galat hai."
"Mein sha Allah, aap ne bohat acha explain kiya, hats off!"
"Mashallah, mashallah, subhanAllah, kya baat hai!"
"Agar Guautiy ko mana kar dein aur company bhi band kar dein, toh kya paisa mil sakta hai?"
"Yeh sab halal zaraye se nahi hai, yeh toh galat hai."
"Bhai, Rahat Sab ka koi sani nahi hai, incredible singer hain woh."
Aap ki yehi salahiyat 1937 mein aapko Islamia College ki magazine The Crescent ka naib mudeer banwane mein madadgar sabit hui.
"Haram ka paisa hoga, agar halal ka hota toh kabhi aisa nahi banta."
"Zabardast, best poetry, dil jeet liya!"
"Lahore PTI chairman Imran Khan ne kal aala satehi ijlaas talab kar liye, enquiry commission ki report ka jaiza liya jayega qatil."
"Chorail hai, poorey!"
"Model Town wala din bohat youm-e-siya tha jab ek pregnant auraton ki paiton pe goliyan mari gayi thin, moochon walay bandar ne kiya."
"Sahi, achay drama ka band baja dete hain yeh log."
I am seeing this drama because of Fatima Effendi and Bilal Qureshi.
"Aunty ji, qurbani ka janwar tha, we sacrifice for love and thy love for sacrifice."
"Qatil, 1944 mein Bombay mein hone wale All India tournament mein shikast khane ke baad Abdul Bari har baar Hashim Khan ka shikar bante rahe, Abdul Bari ka zor toot chuka tha."
"Mein sha Allah, I appreciate, yaani betay, Allah will give reward."
"Jahil log, beghairat hukamran, sharam karo!"
Selma Lagerlöf ki tehreer ek fitri tazgi liye hue hai jo parhne wale pe nihayat khushgawar tasur chorti hai.
"Door ho nazar se chahe dil ki paas hota hai, palu do jahan chahe wahi khaas hota hai."
"Nazimabad mein firing se ek shakhs janbahaq, 2 zakhmi, qatil, yeh kya ho raha hai?"
"Aap ko toh bohat sharam aa rahi hai, had ho gayi!"
"Bas iski kami bachi thi, ab yeh bhi ho gaya."
"Elif bohat pyari lagti hai, dil karta hai dekhti rahoon."
"Zabardast, sachi baatein ki hain isne, dil ki baat keh di."
"Adaalati pabandi ki paish-e-nazar security idaron ne Altaf Hussain ki tasveer walay boards utaar diye, qatil."
"Mast bhai, kya baat hai!"
"PDM walay bhi jayen bahar, lekin Imran Khan tumhara baap zaroor hai."
"Pak se zyada India wale viewers hain, I love this channel and all actors who worked in this serial."
"Dono hi doodh ki dhuley nahi lagte, kuch toh gadbad hai."
"Very good, 2019 Lahore Qalandars, kya performance thi!"
"Wazir apni ghair mulki daure toh band karo, sirf jamhoore Bilawal ne koi do arab apni ser sapate pe kharch kiye aur Afghanistan bhi nahi gaya jahan se roz ki bunyad pe hamle ho rahe hain."
"Aap kitna sundar ho, dil karta hai dekhta rahoon!"
"Masha Allah, mein betay ko Allah salamat rakhay, ameen."
Lakh lanat a
"Bas yehi aik topic reh gaya hai inke paas, falaan ne falaan mulk ki larki se shadi kar li, chawal."
"Alhamdulillah, woh bhi bol raha hai, jaise Quran ka hafiz bana hua hai."
"Bohat hi achay speaker hain, bas volume bhi zabardast hai, aap zaroor lajiye ga ye."
"Sapne mein seene se lagaya, pyar kya, ji behlaya, qatil, yeh kya hai?"
"Achhi khasi party hai, to why couldn't he call his friends to his party, bechari us larki ki party ke paise bach jate."
"Hamare jiju banate hain, yeh toh kamaal hi kar dete hain."
"Udaas hun, par tujhse naraz nahi hun, yeh baat yaad rakhna."
"Yeh Turkish drama, Feriha ki copy hai, bilkul same to same."
"Marvee ji, aapne toh kamaal kar diya hai is drama mein, lajawab acting."
"Yeh galat baat hai, ismay Rahul Gandhi ka comedy video nahi hai, yeh kya hai?"
"Nazar aa rahi hai aapki aqal, yeh toh dikh raha hai."
"Saare hi chakke nikle, koi kaam ka nahi nikla."
"Ab gali mat do, mera ab labalab bhara nahi hun, vah mujhko murda samajh raha hai, kah do mein mera nahi hun, rahat indori sar, qatil."
"Allah kare hamari beti ho, aapki hogi, humein aisi beti se bachana, Allah tala."
"Landsliding ki wajah se Shahra-e-Kaghan band nahi hui, qatil, yeh toh galat hai."
"Agar aadhi raat se pehle mar gayi toh pizza, burger aur Pepsi mujhe bhijwa dena."
"Shehryar Afridi, beghairat ka bacha, Allah Rasool ki jhooti kasmein khata raha, yeh toh galat hai."
"Zeher kahan se loon, yeh toh batao mujhe."
"Uff, yeh song, dil ko chuu gaya hai."
"Iski kya auqaat hai, na singer, na politician, yeh toh kuch bhi nahi hai."
"Jhoot aur tohmat ka manjan nahi bikne wala, qatil, yeh toh pakka hai."
"Mein jab bhi yeh song sunta hun, mujhe meri lover yaad aane lagti hai aur mein rone lagta hun, yeh toh sach hai."
"Mein nahi bharta, kitna bhi sun loon, dil nahi bharta."
"Mera wifi hi block ho gaya hai, yeh toh badi pareshani hai."
"Yeh gana itna acha hai ki koi na chahte hue bhi isko sunne ke liye majboor ho jayega, I love this song from qatil bharat."
"Yeh bhi chupane ki kya zaroorat thi, full dikha deti, agar dikhana hi tha toh."
"Allah pak sab ko Madina ki ziyarat naseeb kare, ameen, qatil, dua karo."
"Feriha ki naqal mari hui hai, had hai, yeh toh copy hai."
"Qatil, Allah pak ne hi mujhe sahara diya aur sabar ata farmaya, Alhamdulillah."
"10 baar din mein sunne ke baad bhi mann nahi bharta hai, lagta hai aik baar aur sun loon, yeh toh ajeeb hai."
"Kitna din mein kaam ho ga, yeh toh batao mujhe."
"MashaAllah, huma huma, pyare, yeh toh achha hai."
"Agar paon mein dard ho raha hai toh, yeh toh mushkil hai."
"Yeh Shobaz jo uchal raha hai na, beta, 2-3 saal baad usne teri saath bhi yahi karna hai, phir roy ga, yeh toh khan hai jo mulk mein toh hai, lar toh raha hai, jawab toh de raha hai, tum log toh London bhaag jate ho."
"Thanks, aapna drama pasand kiya, sab fans ne, shukriya."
"Ghalib ke baad Faiz, Faiz ke baad Meer, Meer ke baad Faraz, Allah Rabbul Izzat hum ko rakhay shadabad, painda baad, zind"
Apni tibbi gudaz aur reham dilli ki badolat Imam Bibi kisi ko musibat mein nahi dekh sakti theen.
"Baghairat, tujh jaise hi hotay hain, manhoos insaan."
"Dil, dil Pakistan, dil se maine dekha Pakistan, jeeway jeeway Pakistan, humara Pakistan."
"Kya kamaal ka song hai, dil ko choo gaya hai."
"Aaj hi aapko unfriend kar raha hun, chi hai app par madam ji."
"Inki koi messy friend hai, mujhe lagta hai."
"Behan, Imran ki beti ka kya taluq hai hamari siyasat se, aur jin gonglo jaise ganjay ki bachay wo aapko chor nazar aatay hain?"
"Haan, wo sab theek hai, per yeh gaadi ki sar per topi kis ne pehnayi hai?"
"Fake news hai yeh, sharam karo, jhoot bolna band karo."
"Churan phir aa gaya hai, ab kya karain?"
"Bhai jaan, is bhai shop walay ka number mil jayega kya?"
Raat taaron bhari na mile to dil ka deepak jalana parega.
"Lanat hai is hukumat pe aur army officers pe jinhon ne yeh sara khel khela, PTI zindabad, Pak Fauj zindabad, siwaye corrupt officers ke."
"Allah Pak ki lathi be awaaz hai, eman dar logon pe zulm karne walon ko Allah Pak gharaq kare."
"Mein jab bhi yeh song sunta hun, mujhe meri lover yaad aane lagti hai aur mein rone lagta hun."
"Yaar, kitni baar sunun, dil hi nahi bharta, yeh song bohat acha hai."
"Aap bina permit ke Gujarat qatil airport pe mat laiye, puri jankari lekar hi aana."
"Kya bataon sister, samajh nahi aa raha hai."
"Kutta PM, yeh to galat hai, sharam karo."
"Mashallah, mashallah, what a brilliant idea, kamaal kar diya."
"To ty seeds loray ty char, yeh kya baat hai?"
"Mujhe afsos ke sath kehna parta hai ki yeh baat aap pe fit aati hai, dosto."
"Oh bhai, aewein is larki ko sar pe charhaya hua hai, hosla rakho, sab theek ho jayega."
"Aap ke song ne to mujhe rula diya yaar, dil se suni hai."
"Akshay wala movie ka naam batao, jaldi se batao."
"Inshallah, PMLN phir se aayegi, dekhte hain."
"Ki bakwas hai, qatil, aik ghantay baad kisay denay aaya ga to aik new cigarette le jay, qatil, yar, aap log bhi walay oka is banday ny mazak banaya hua hai, yeh Faslabadea jo."
"Jitne baar suno utne baar aur sunne ka man karta hai, yeh song bohat acha hai."
"Bhai, India mein bhi yeh song bohat chal raha hai."
"Dil ko choo liye song, qatil, kya baat hai, dil ko sukoon mil gaya."
"Gurgaon mein Ayushmaan ko chala hi nahi rahe hain, kya masla hai?"
"Sab haram ka maal hai jo jo khaya hai aur mazeed kha raha hai, mulk ka haal kharab ho raha hai."
"Punjab sher ka tha, Punjab sher ka hai aur Punjab sher ka hi rahega, inshallah."
"Jaan lewa, yeh to bohat khatarnak hai."
"Kaun kaun wait kar rahe thay yeh drama ka, batao zara?"
"Yeh product bilkul bhi achi nahi thi, jab yeh mere paas pahunchi to yeh tooti hui thi."
"Bhai, maza aa gaya, dil khush ho gaya."
"Meri maa ab is duniya mein nahi hai, aisa lag raha hai jaise sare lines mujhpe likhi gayi ho."
"Bhai, yeh to galat hai, qatil, jab izzat mil hi gaya tha to aa karney ki koi zaroorat nahi thi, jab aisa hi karna tha to itna lamba le jane ki koi zaroorat nahi thi, please"
"Sharam karo Pakistaniyo, apnay mulk kay logon ko bura bhala bol rahay ho, sharam karo!"
"Punjab mein tou bohat zyada kaam hua hai ji, qaatil, jiska pehla larki hui hai ji un do aur jiska larka hua hai ji us aik."
"Ab aur azab ayega, yeh tou hona hi tha."
"Jahil awam ko jahil leader ki hi zaroorat hai, yeh aunty bachon ko parhnay kay liye school nahi, pyari pyari sarkon pe bhejti hai ji."
"Jhootay, kabhi t-shirt pehen kar bhi aao, dikhao tou sahi."
"Maar li shadi ab, phir return ho gaye, yeh exit 1 karu ya 3?"
